Foundation EIN,Foundation name,Foundation city,Foundation state,Foundation county,Foundation.Year formed,Foundation.Most recent tax filings,"Foundation.NTEE code, primary","Foundation.NAICS code, primary",Foundation.Total revenues,Foundation.Total liabilities,Foundation revenues,Foundation assets,Foundation Grant geographic focus,Foundation Total num. grants made,Grant recipient EIN,Grant recipient name,Grant amounts,Fiscal year when grants made,Recipient.Street address,Recipient.City,Recipient.Zip code,Recipient.County,Recipient.Year formed,Recipient.Most recent tax filings,"Recipient.NTEE code, primary","Recipient.NAICS code, primary",Recipient.Has full-time employees,Recipient.Has endowment support,Recipient.Federal funding types,Recipient.Total assets,Recipient.Total revenues,Recipient.Total liabilities,Recipient.Total expenses,Recipient.Number of grants made,Recipient.Median grant amount
95-6067230,The Beaver Medical Clinic Foundation,"Redlands, California",CA,"San Bernardino County, California",1964,6/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,155388,0,155388,1024866,Metro,19,91-2143250,Redlands Community Foundation,1000000,6/1/2024,PO Box 8908,Redlands,92375,"San Bernardino County, California",2001,6/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,Yes,Yes,,7675631,850709,0,677842,5,49949
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,33-0575477,SBRC Union Services,985000,12/1/2023,937 S Via Lata Ste 500,Colton,92324,"San Bernardino County, California",1993,12/1/2023,J22: Employment Training,624190: Individual and Family Services,Yes,No,,1368329,2614873,0,2247298,5,91667
33-0863521,The Linfield Foundation,"Temecula, California",CA,"Riverside County, California",1998,6/1/2024,B84: Alumni Associations,813211: Grantmaking Foundations,937763,8199578,937763,5130901,Metro,1,95-1683878,Linfield Christian School,821864,6/1/2024,31950 Pauba Rd,Temecula,92592,"Riverside County, California",1936,6/1/2024,"B20: Elementary, Secondary Education",611110: Elementary and Secondary Schools,Yes,No,,36258868,19490884,28191366,18241532,,
95-3425829,Salem Foundation,"Chino, California",CA,"San Bernardino County, California",1980,6/1/2024,P80: Services to Promote the Independence of Specific Population Groups,813211: Grantmaking Foundations,562881,0,562881,7439755,Metro,1,95-2116809,Salem Christian Homes,812082,6/1/2024,6921 Edison Ave,Chino,91710,"San Bernardino County, California",1961,6/1/2024,"P70: Residential, Custodial Care (Group Home)",623210: Residential Intellectual and Developmental Disability Facilities,Yes,No,,8745955,13918688,2068440,14848837,,
45-2460205,Neuro Vitality Foundation,"Palm Springs, California",CA,"Riverside County, California",2011,6/1/2024,G90: Medical Disciplines,813212: Health and Disease Research Fundraising Organizations,23235,176,23235,1367945,Metro,1,95-3402464,Neuro Vitality Center,675598,6/1/2024,PO Box 1544,Palm Springs,92263,"Riverside County, California",1979,6/1/2024,"G43: Heart and Circulatory System Diseases, Disorders",813212: Health and Disease Research Fundraising Organizations,Yes,No,Formula grant; Grant; Sub-grant,276979,1035651,21179,1449751,,
95-3425829,Salem Foundation,"Chino, California",CA,"San Bernardino County, California",1980,6/1/2024,P80: Services to Promote the Independence of Specific Population Groups,813211: Grantmaking Foundations,562881,0,562881,7439755,Metro,1,95-2116809,Salem Christian Homes,604977,6/1/2023,6921 Edison Ave,Chino,91710,"San Bernardino County, California",1961,6/1/2024,"P70: Residential, Custodial Care (Group Home)",623210: Residential Intellectual and Developmental Disability Facilities,Yes,No,,8745955,13918688,2068440,14848837,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,42-1574359,Youth Action Project,587500,12/1/2023,696 S Tippecanoe Ave,San Bernardino,92408,"San Bernardino County, California",1998,6/1/2024,O01: Youth Development Alliances and Advocacy,624110: Child and Youth Services,Yes,No,Project grant; Block grant; Grant; Sub-grant,2260077,4094010,242918,3513456,,
23-7276444,Riverside Community Health Foundation,"Riverside, California",CA,"Riverside County, California",1973,12/1/2023,E70: Public Health Programs,813211: Grantmaking Foundations,4039301,4426225,4039301,103790507,Metro,14,95-0642985,Community Settlement Association of Riverside,567297,12/1/2023,4366 Bermuda Ave,Riverside,92507,"Riverside County, California",1943,12/1/2023,P20: Human Service Organizations,813410: Civic and Social Organizations,Yes,No,,1042092,1144796,165268,1178613,,
95-2567237,Desert Healthcare Foundation,"Palm Springs, California",CA,"Riverside County, California",1948,6/1/2024,E11: Health Care Single Organization Support,621: Outpatient Health Care Practitioners and Facilities,2870587,526854,2870587,5634161,Metro,20,33-0547453,Regional Access Project Foundation,537450,6/1/2023,41550 Eclectic St,Palm Desert,92260,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,Yes,Yes,,7296785,4204679,1031248,4663601,61,17000
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,59-3823989,Blu Educational Foundation,531500,12/1/2023,PO Box 7042,San Bernardino,92411,"San Bernardino County, California",2008,6/1/2024,B11: Education Single Organization Support,813211: Grantmaking Foundations,Yes,No,,5465918,2403458,40,2293620,3,50000
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0615350,Palm Springs Air Museum,500000,12/1/2023,745 N Gene Autry Trail,Palm Springs,92262,"Riverside County, California",1994,8/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,Contract; Purchase order,25962550,5906509,790302,4654934,,
95-3368018,Redlands Community Hospital Foundation,"Redlands, California",CA,"San Bernardino County, California",1978,9/1/2024,E11: Health Care Single Organization Support,813211: Grantmaking Foundations,6098470,109271,6098470,20681898,Metro,1,95-1643347,Redlands Community Hospital,493142,9/1/2023,350 Terracina Blvd,Redlands,92373,"San Bernardino County, California",1927,9/1/2024,"E22: Hospital, General",622: Hospitals,Yes,No,Project grant; Grant; Sub-grant,228043796,407136512,170524070,415704253,2,662205
33-0547453,Regional Access Project Foundation,"Palm Desert, California",CA,"Riverside County, California",1992,6/1/2024,"S00: Community Improvement, Capacity Building: General",813211: Grantmaking Foundations,4204679,1031248,4204679,7296785,Metro,61,81-2607226,Inland Empire Community Collaborative In,472687,6/1/2024,1887 Business Dr 3,San Bernardino,92408,"San Bernardino County, California",2016,6/1/2024,W11: Public and Societal Benefit Single Organization Support,813319: Social Advocacy Organizations,Yes,No,,826669,1192204,435787,1040207,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,95-3402464,Neuro Vitality Center,465088,12/1/2023,PO Box 1544,Palm Springs,92263,"Riverside County, California",1979,6/1/2024,"G43: Heart and Circulatory System Diseases, Disorders",813212: Health and Disease Research Fundraising Organizations,Yes,No,Formula grant; Grant; Sub-grant,276979,1035651,21179,1449751,,
95-3368018,Redlands Community Hospital Foundation,"Redlands, California",CA,"San Bernardino County, California",1978,9/1/2024,E11: Health Care Single Organization Support,813211: Grantmaking Foundations,6098470,109271,6098470,20681898,Metro,1,95-1643347,Redlands Community Hospital,455461,9/1/2024,350 Terracina Blvd,Redlands,92373,"San Bernardino County, California",1927,9/1/2024,"E22: Hospital, General",622: Hospitals,Yes,No,Project grant; Grant; Sub-grant,228043796,407136512,170524070,415704253,2,662205
58-1888280,The Rauch Family Foundation,"Upland, California",CA,"San Bernardino County, California",1990,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,9318034,5923183,9318034,108090000,Metro,58,95-1914489,Providence St Mary Medical Center,450000,12/1/2023,18300 Us Hwy 18,Apple Valley,92307,"San Bernardino County, California",1953,12/1/2023,"E22: Hospital, General",622: Hospitals,Yes,Yes,,619205470,395720609,74659632,386055659,1,0
91-2143250,Redlands Community Foundation,"Redlands, California",CA,"San Bernardino County, California",2001,6/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,850709,0,850709,7675631,Metro,5,33-0600577,Redlands Conservancy,445000,6/1/2023,PO Box 855,Redlands,92373,"San Bernardino County, California",1994,12/1/2024,C34: Land Resources Conservation,"813312: Environment, Conservation, and Wildlife Organizations",Yes,Yes,,20326033,1045390,6999,1385786,1,100000
33-0833774,Mike and Linda Van Daele Family Foundation,"Corona, California",CA,"Riverside County, California",1999,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,825052,0,825052,240224,Metro,27,86-2650106,Menifee Christian Church,440500,12/1/2023,28270 Adrienne St,Murrieta,92563,"Riverside County, California",2022,,X20: Christian,813110: Religious Organizations,No,No,,,,,,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,46-3088038,Arts Connection,431500,12/1/2023,5500 University Pkwy 308,San Bernardino,92407,"San Bernardino County, California",2014,6/1/2024,A26: Arts Council/Agency,"7113: Promoters of Performing Arts, Sports, and Similar Events",Yes,No,,550047,933301,0,793083,,
65-1288276,Sunrise Foundation,"Rancho Cucamonga, California",CA,"San Bernardino County, California",2006,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3714639,0,3714639,7643255,Metro,10,94-3047547,Kimbo Foundation,420000,12/1/2024,8949 Buffalo Ave,Rancho Cucamonga,91730,"San Bernardino County, California",1987,12/1/2024,T21: Corporate foundations,813211: Grantmaking Foundations,No,No,,2581472,649377,0,548642,1,520000
95-1816009,Loma Linda University,"Loma Linda, California",CA,"San Bernardino County, California",1910,6/1/2024,B42: Undergraduate College (4-year),"611310: Colleges, Universities, and Professional Schools",397806531,1065914072,397806531,1947539284,Metro,5,33-0664371,Sac Health System,416667,6/1/2023,250 S G St,San Bernardino,92410,"San Bernardino County, California",1995,6/1/2023,E21: Community Health Systems,621: Outpatient Health Care Practitioners and Facilities,Yes,Yes,Project grant; Direct payment; Sub-grant; Formula grant; Grant,122473721,110819273,60482175,102235102,3,20000
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,33-0780130,Riverside Public Library Foundation,409390,12/1/2023,PO Box 349,Riverside,92502,"Riverside County, California",1997,12/1/2023,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,,1065503,146440,282000,501909,1,449281
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,33-0480298,Inland Congregations United for Change Sponsoring Committee,398500,12/1/2023,1441 N D St 208,San Bernardino,92405,"San Bernardino County, California",1992,6/1/2023,X00: Religion: General,813110: Religious Organizations,Yes,Yes,Grant; Cooperative agreement; Sub-grant,4247825,4889219,346795,4797909,,
95-2567237,Desert Healthcare Foundation,"Palm Springs, California",CA,"Riverside County, California",1948,6/1/2024,E11: Health Care Single Organization Support,621: Outpatient Health Care Practitioners and Facilities,2870587,526854,2870587,5634161,Metro,20,33-0572113,Riverside County Latino Commission on Alcohol and Drug Abuse Services,363300,6/1/2024,1612 1st St,Coachella,92236,"Riverside County, California",1991,6/1/2023,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",621: Outpatient Health Care Practitioners and Facilities,Yes,No,,5565043,10647379,356265,8234603,,
26-1593449,Mcmillen Family Foundation,"Temecula, California",CA,"Riverside County, California",2008,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,462109,497,462109,19130285,Metro,41,95-2656302,Riverside Alano Club,350000,12/1/2023,7620 Cypress Ave,Riverside,92503,"Riverside County, California",1970,12/1/2022,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",813410: Civic and Social Organizations,No,No,,307204,323086,0,43152,,
33-0833774,Mike and Linda Van Daele Family Foundation,"Corona, California",CA,"Riverside County, California",1999,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,825052,0,825052,240224,Metro,27,33-0530896,Baja Christian Ministries,344000,12/1/2023,4195 Chino Hills Pkwy 390,Chino Hills,91709,"San Bernardino County, California",1993,12/1/2023,X30: Jewish,813110: Religious Organizations,Yes,No,,247440,1518277,2976,1548155,,
93-1665274,One Valley Foundation,"Palm Desert, California",CA,"Riverside County, California",2023,6/1/2024,"N60: Amateur Sports Clubs, Leagues",813212: Health and Disease Research Fundraising Organizations,661531,388854,661531,44187,Metro,13,87-3813182,Palm Springs Plaza Theatre Foundation,333333,6/1/2024,1775 E Palm Canyon Dr Ste 110-1028,Palm Springs,92264,"Riverside County, California",2021,6/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,No,No,,11239872,1491901,0,333557,,
93-1665274,One Valley Foundation,"Palm Desert, California",CA,"Riverside County, California",2023,6/1/2024,"N60: Amateur Sports Clubs, Leagues",813212: Health and Disease Research Fundraising Organizations,661531,388854,661531,44187,Metro,13,87-3813182,Palm Springs Plaza Theatre Foundation,333333,6/1/2023,1775 E Palm Canyon Dr Ste 110-1028,Palm Springs,92264,"Riverside County, California",2021,6/1/2024,A61: Performing Arts Centers,711110: Theater Companies and Dinner Theaters,No,No,,11239872,1491901,0,333557,,
33-0042666,San Antonio Hospital Foundation,"Upland, California",CA,"San Bernardino County, California",1984,12/1/2023,T31: Community Foundations,813212: Health and Disease Research Fundraising Organizations,4869384,2054880,4869384,55697881,Metro,1,95-1183919,San Antonio Regional Hospital,319434,12/1/2023,999 San Bernardino Rd,Upland,91786,"San Bernardino County, California",1920,12/1/2023,"E22: Hospital, General",622: Hospitals,Yes,Yes,Project grant; Grant; Sub-grant,785690411,459762982,274683003,441551230,1,0
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,91-2088232,Academy for Grassroots Organizations,315000,12/1/2023,13312 Ranchero Rd PMB 202,Oak Hills,92344,"San Bernardino County, California",2000,12/1/2023,"S20: Community, Neighborhood Development, Improvement",611430: Professional and Management Development Training,Yes,No,,625669,361590,42432,254775,,
65-1288276,Sunrise Foundation,"Rancho Cucamonga, California",CA,"San Bernardino County, California",2006,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,3714639,0,3714639,7643255,Metro,10,94-3047547,Kimbo Foundation,310000,12/1/2023,8949 Buffalo Ave,Rancho Cucamonga,91730,"San Bernardino County, California",1987,12/1/2024,T21: Corporate foundations,813211: Grantmaking Foundations,No,No,,2581472,649377,0,548642,1,520000
95-2567237,Desert Healthcare Foundation,"Palm Springs, California",CA,"Riverside County, California",1948,6/1/2024,E11: Health Care Single Organization Support,621: Outpatient Health Care Practitioners and Facilities,2870587,526854,2870587,5634161,Metro,20,33-0711527,Todec Legal Center Perris,300000,6/1/2023,PO Box 1235,Moreno Valley,92556,"Riverside County, California",1996,6/1/2024,P20: Human Service Organizations,5411: Legal Services,Yes,No,,7397135,7456161,2554436,7104739,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,95-2642747,Reach Out,295000,12/1/2023,1126 W Foothill Blvd 250,Upland,91786,"San Bernardino County, California",1969,6/1/2024,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",624110: Child and Youth Services,Yes,No,,2803791,8990169,716542,8957275,,
33-0716808,Walter's Children's Charities Classic,"Riverside, California",CA,"Riverside County, California",1996,12/1/2023,E12: Health Care Fund Raising and Fund Distribution,"7113: Promoters of Performing Arts, Sports, and Similar Events",350557,0,350557,287025,Metro,1,33-0565591,Loma Linda University Children's Hospital Foundation,290000,12/1/2023,197 E Caroline St 2100,San Bernardino,92408,"San Bernardino County, California",1992,6/1/2024,E86: Patient Services,813212: Health and Disease Research Fundraising Organizations,No,Yes,,31737429,5234740,6695,496168,,
20-4330852,The Glen and Opal Barnett Foundation,"Palm Desert, California",CA,"Riverside County, California",2006,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,224325,1,224325,3895156,Metro,2,45-4384613,Mama's HOUSE MINISTRIES,275000,12/1/2023,PO Box 1816,Palm Desert,92261,"Riverside County, California",2012,6/1/2024,P40: Family Services,624190: Individual and Family Services,Yes,No,,10588886,2569348,476480,1579048,,
26-1593449,Mcmillen Family Foundation,"Temecula, California",CA,"Riverside County, California",2008,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,462109,497,462109,19130285,Metro,41,95-2878145,Inland Valley Drug and Alcohol Recovery Services,256000,12/1/2023,1260 E Arrow Hwy Building E,Upland,91786,"San Bernardino County, California",1962,12/1/2023,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",623220: Residential Mental Health and Substance Abuse Facilities,Yes,No,,11516274,12070065,5008414,10686408,,
81-0661056,Loma Linda University Shared Services,"San Bernardino, California",CA,"San Bernardino County, California",2004,6/1/2024,B43: University or Technological Institute,813110: Religious Organizations,340062224,265891297,340062224,273393487,Metro,13,95-1831069,Loma Linda Academy,253004,6/1/2023,10656 Anderson St,Loma Linda,92354,"San Bernardino County, California",1947,,X00: Religion: General,813110: Religious Organizations,No,No,,,,,,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0615350,Palm Springs Air Museum,250000,12/1/2023,745 N Gene Autry Trail,Palm Springs,92262,"Riverside County, California",1994,8/1/2024,A54: History Museums,"7121: Museums, Historical Sites, and Similar Institutions",Yes,No,Contract; Purchase order,25962550,5906509,790302,4654934,,
52-1757452,HN and Frances C Berger Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,27759670,2040450,27759670,489101990,Metro,121,33-0364239,Loma Linda University Health Care,250000,12/1/2023,11175 Campus St 11120,Loma Linda,92350,"San Bernardino County, California",1989,6/1/2024,E31: Group Health Practice,813211: Grantmaking Foundations,Yes,No,,141835056,235023024,86243347,230502864,1,18925780
84-2411420,Impact Through Golf Foundation,"La Quinta, California",CA,"Riverside County, California",2019,6/1/2023,"N60: Amateur Sports Clubs, Leagues","7113: Promoters of Performing Arts, Sports, and Similar Events",11007920,3003738,11007920,3152786,Metro,34,33-0006007,FIND Food Bank,250000,6/1/2023,83775 Citrus Ave,Indio,92201,"Riverside County, California",1983,6/1/2024,"K31: Food Banks, Food Pantries",624210: Community Food Services,Yes,No,Formula grant; Grant; Sub-grant,23659486,51971271,1316485,47750830,70,0
84-2411420,Impact Through Golf Foundation,"La Quinta, California",CA,"Riverside County, California",2019,6/1/2023,"N60: Amateur Sports Clubs, Leagues","7113: Promoters of Performing Arts, Sports, and Similar Events",11007920,3003738,11007920,3152786,Metro,34,33-0006007,FIND Food Bank,250000,6/1/2023,83775 Citrus Ave,Indio,92201,"Riverside County, California",1983,6/1/2024,"K31: Food Banks, Food Pantries",624210: Community Food Services,Yes,No,Formula grant; Grant; Sub-grant,23659486,51971271,1316485,47750830,70,0
33-0099694,Riverside Medical Clinic Foundation,"Riverside, California",CA,"Riverside County, California",1984,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,127818,0,127818,2820997,Metro,3,30-0796418,Riverside Medical Clinic Charitable Foundation,250000,12/1/2023,7177 Brockton Ave Suite 105,Riverside,92506,"Riverside County, California",2013,12/1/2023,T30: Public Foundations,813212: Health and Disease Research Fundraising Organizations,Yes,No,,397156,543240,87446,506645,,
33-0426210,Reynaldo J Carreon MD Foundation,"Palm Desert, California",CA,"Riverside County, California",1996,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,254673,10277,254673,1564601,Metro,1,81-3653698,OneFuture Coachella Valley,249950,12/1/2023,41550 Eclectic St 204d,Palm Desert,92260,"Riverside County, California",2016,6/1/2024,"B82: Scholarships, Student Financial Aid Services",813319: Social Advocacy Organizations,Yes,No,Project grant; Grant; Sub-grant,2294593,3075898,391167,3283085,1,55600
95-2567237,Desert Healthcare Foundation,"Palm Springs, California",CA,"Riverside County, California",1948,6/1/2024,E11: Health Care Single Organization Support,621: Outpatient Health Care Practitioners and Facilities,2870587,526854,2870587,5634161,Metro,20,95-6006142,Regents of the University of California at Riverside,225000,6/1/2023,900 University Ave,Riverside,92507,"Riverside County, California",1965,,Z99: ,,No,No,,,,,,,
95-2567237,Desert Healthcare Foundation,"Palm Springs, California",CA,"Riverside County, California",1948,6/1/2024,E11: Health Care Single Organization Support,621: Outpatient Health Care Practitioners and Facilities,2870587,526854,2870587,5634161,Metro,20,95-6006142,Regents of the University of California at Riverside,225000,6/1/2024,900 University Ave,Riverside,92507,"Riverside County, California",1965,,Z99: ,,No,No,,,,,,,
33-0748536,Inland Empire Community Foundation,"Riverside, California",CA,"Riverside County, California",1997,12/1/2023,T31: Community Foundations,813211: Grantmaking Foundations,41121733,24139502,41121733,136860693,Metro,311,52-2405277,Time For Change Foundation,220000,12/1/2023,2164 N Mountain View Ave,San Bernardino,92405,"San Bernardino County, California",2004,6/1/2024,Z99: ,624190: Individual and Family Services,Yes,No,Formula grant; Project grant; Grant; Sub-grant,18748935,5322783,291396,4653853,,
58-1888280,The Rauch Family Foundation,"Upland, California",CA,"San Bernardino County, California",1990,12/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,9318034,5923183,9318034,108090000,Metro,58,95-3213342,Arrowhead Regional Medical Center Foundation,215000,12/1/2023,PO Box 2206,Colton,92324,"San Bernardino County, California",1977,12/1/2023,T30: Public Foundations,813212: Health and Disease Research Fundraising Organizations,Yes,No,,4869503,2247988,69919,1098410,1,0
95-6044472,Bourns Foundation,"Riverside, California",CA,"Riverside County, California",1959,11/1/2024,T21: Corporate foundations,813211: Grantmaking Foundations,255084,0,255084,125202,Metro,11,26-1542065,Riverside Community Services Foundation,214468,11/1/2023,6927 Magnolia Ave 2nd Floor,Riverside,92506,"Riverside County, California",2007,6/1/2023,L11: Housing and Shelter Single Organization Support,813211: Grantmaking Foundations,No,Yes,,1100196,466700,0,38399,,
