EIN,Org name,Acronym,Website URL,Street address,City,Zip code,County,Year formed,Most recent tax filings,"NTEE code, primary","NAICS code, primary",California FTB status revoked,Has full-time employees,Has endowment support,Federal funding types,Total assets,Total revenues,Number of grants received,"Total grants, contributions, etc.: Percent of revenues",Total liabilities,Total expenses,Total general management expenses: Percent of expenses,Total program-related expenses: Percent of expenses,"All salaries, compensation, and employee benefits: Percent of expenses",Number of grants made,Median grant amount
90-1178299,California State PTA - Painted Hills Middle School PTSA,,,9250 Sonora Dr,DSRT Hot SPGS,92240,"Riverside County, California",1943,6/1/2021,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,No,No,No,,,,1,,,,,,,,
81-4414345,Create Center for the Arts,,,73600 Alessandro Dr,Palm Desert,92260,"Riverside County, California",2016,6/1/2021,"A25: Arts Education, Schools of Art","7113: Promoters of Performing Arts, Sports, and Similar Events",Yes,Yes,No,,6938,200697,3,59.49466111,57597,253208,32.0973271,67.9026729,32.72053016,,
32-0549893,Sacred Heart School Palm Desert Fdn,,,43775 Deep Canyon Rd,Palm Desert,92260,"Riverside County, California",2017,12/1/2021,B24: Elementary School,813211: Grantmaking Foundations,No,No,Yes,,3241957,917128,6,99.94602716,0,2314,100,0,0,1,35000
46-5672593,Scholarship America - Greater Riverside Dollars for Schol,,http://www.greaterriverside.dollarsforscholars.org/index.php?section=chapterWebsite&action=main&fwID=1992,PO Box 1178,Riverside,92502,"Riverside County, California",1962,12/1/2021,"B82: Scholarships, Student Financial Aid Services",611710: Educational Support Services,No,No,No,,,,1,,,,,,,,
20-5914633,Sehan Evangelical Church of America,,,4293 Descanso Ave,Chino Hills,91709,"San Bernardino County, California",2006,12/1/2021,X20: Christian,813110: Religious Organizations,No,Yes,No,,671320,162291,1,100,0,120033,100,0,33.63158465,,
46-2167670,The Menifee Valley Boys and Girls Club,,http://menifeebgc.org/,PO Box 2423,Menifee,92586,"Riverside County, California",2013,12/1/2022,"O20: Youth Centers, Boys and Girls Clubs",813410: Civic and Social Organizations,Yes,Yes,No,,382140,1359661,5,27.92696121,38989,1428231,4.960332047,93.88901375,56.83744436,,
95-3010057,Victorian Pony Stallion League,,,PO Box 382,Riverside,92502,"Riverside County, California",2022,12/1/2022,"N63: Baseball, Softball","713990: Amateur Sports, Youth Sports, and Recreational Services",Yes,No,No,,,,0,,,,,,,,
95-2656302,Riverside Alano Club,,https://sites.google.com/view/riverside-,7620 Cypress Ave,Riverside,92503,"Riverside County, California",1970,12/1/2022,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",813410: Civic and Social Organizations,No,No,No,,307204,323086,1,94.69986319,0,43152,,100,53.13079347,,
85-3078437,Lifting Our Stories,,https://www.liftingourstories.org/,748 N Lassen Ave,San Bernardino,92410,"San Bernardino County, California",2022,12/1/2022,"O50: Youth Development Programs, Other",624110: Child and Youth Services,No,No,No,,111339,155759,1,100,0,45085,,99.99778197,23.39802595,,
84-3546411,Curls Coils and Crowns,,https://curlscoilscrowns.com/,12495 Limonite Ave,Eastvale,91752,"Riverside County, California",2020,12/1/2022,"O50: Youth Development Programs, Other",,Yes,No,No,,,,3,,,,,,,,
84-3313147,Family Promise of Riverside,,https://www.fpriverside.org/,7200 Magnolia Ave,Riverside,92504,"Riverside County, California",2021,12/1/2022,P85: Homeless Persons Centers and Services,62422: Community Housing Services,No,No,No,,175719,103160,2,99.49980613,0,90343,,15.82524379,61.82438042,,
83-3693936,Adult Health and Fitness Today,,,71481 Halgar Rd,Rancho Mirage,92270,"Riverside County, California",2019,12/1/2022,E70: Public Health Programs,624190: Individual and Family Services,No,Yes,No,,41398,217248,1,97.42138017,5270,234558,71.8218948,22.32837933,32.28242055,,
83-1189707,Advancing Steps,,,14080 Palm Dr Ste E,DSRT Hot SPGS,92240,"Riverside County, California",2019,12/1/2022,I40: Rehabilitation Services for Offenders,,No,No,No,,,,3,,,,,,,,
81-3876265,Summit High School Cheer Boosters,,,15218 Summit Ave # 528,Fontana,92336,"San Bernardino County, California",2016,12/1/2022,N11: Recreation and Sports Single Organization Support,,No,No,No,,,,1,,,,,,,,
51-0142318,Friends of the Palm Springs Library,,http://www.friendsofthelibrary.org/,300 S Sunrise Way,Palm Springs,92262,"Riverside County, California",1975,12/1/2022,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,No,,1186117,106439,4,59.71871213,0,110265,4.890944543,91.61202557,0,2,16881
47-4515611,Barkee Larouxs House of Love Animal Sanctuary,,https://barkeelaroux.org/,PO Box 2845,Palm Springs,92263,"Riverside County, California",2019,12/1/2022,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,4040,63346,1,100,0,61062,,97.21430677,0,,
33-0344588,Cherry Valley Bow Hunters Archery Club,,http://www.cherryvalleybowhunters.com/,9757 Kehl Canyon Rd,Cherry Valley,92223,"Riverside County, California",2003,12/1/2022,N61: Fishing and Hunting Clubs,713910: Golf Courses and Country Clubs,No,No,No,,22217,39403,1,99.99746212,10591,49352,,0,0,,
33-0224471,Sport Foundation,,,3721 Beechwood Pl,Riverside,92506,"Riverside County, California",1987,12/1/2022,"N60: Amateur Sports Clubs, Leagues","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,18995,2000,1,100,0,7914,,0,0,,
30-1209996,The Love Program,,https://www.lovenonprofit.com/,263 W Rialto Ave,Rialto,92376,"San Bernardino County, California",2019,12/1/2022,O00: Youth Development: General,813410: Civic and Social Organizations,No,Yes,No,Grant; Project grant,0,455500,1,0.109769484,0,213809,28.45343274,57.03174328,12.82172406,1,35000
26-3909923,Kids Cures Foundation,,,906 Beaumont Ave C,Beaumont,92223,"Riverside County, California",2009,12/1/2022,P20: Human Service Organizations,624230: Emergency and Relief Services,No,No,No,,408877,533185,4,22.5970348,0,124308,0,98.7780352,6.650416707,,
20-5340930,Express Workforce Foundation,,,9229 Utica Ave Suite 140,Rancho Cucamonga,91730,"San Bernardino County, California",2016,12/1/2022,J30: Vocational Rehabilitation,624310: Vocational Rehabilitation Services,No,Yes,No,,14803,106394,0,100,645,104397,0.022031284,99.97796872,64.75856586,,
46-1583301,Doulos Community Services,,,9640 Ctr Ave,Rancho Cucamonga,91730,"San Bernardino County, California",2013,1/1/2023,F32: Community Mental Health Center,624190: Individual and Family Services,Yes,No,No,,15103,29802,0,0,8660,31068,0,100,0,,
88-3862373,TSMD Family Health Foundation,,,534 Mesa Dr,Corona,92879,"Riverside County, California",2022,1/1/2023,P20: Human Service Organizations,813211: Grantmaking Foundations,No,Yes,No,,37950,449000,0,102.8953229,3600,446034,0.269037786,99.73096221,19.52407216,,
33-0345015,Grand Terrace Community Soccer Club,,https://www.gtsoccer.org/,22421 Barton Rd,Grand Terrace,92313,"San Bernardino County, California",1994,1/1/2023,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,98849,182513,0,100,0,155247,,0,0,,
83-2209563,Queer Works,,https://www.queerworks.org/,2510 N Whitewater Club Dr Unit B,Palm Springs,92262,"Riverside County, California",2018,1/1/2023,F80: Mental Health Association,624190: Individual and Family Services,No,Yes,No,,134568,723366,0,100,0,593936,0,100,81.48251663,,
32-0598864,San Bernardino Police Historical Society,,,710 N D St,SN Bernrdno,92401,"San Bernardino County, California",2019,1/1/2023,A50: Museums,,No,No,No,,,,1,,,,,,,,
94-3105141,Rialto Police Benefit Association,,,PO Box 816,Rialto,92377,"San Bernardino County, California",2013,2/1/2023,"J40: Labor unions, organizations",525120: Health and Welfare Funds,No,No,No,,361097,195183,0,99.99436426,0,150599,23.44801815,0,0,,
33-0731363,Big Bear Valley Youth Soccer League,,https://sites.google.com/bigbearsoccer.com/bbsl/home,PO Box 1717,Big Bear City,92314,"San Bernardino County, California",2001,3/1/2023,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,64504,65489,0,99.94808288,37951,38936,,0,0,,
95-2936423,Yucaipa Land Yacht Harbor,,,12618 Third St,Yucaipa,92399,"San Bernardino County, California",1975,3/1/2023,Z99: ,,No,No,No,,405478,248674,0,100,0,120246,0,100,0,,
95-3347081,Loyal Order of Moose - 261,,,36505 Winchester Rd,Murrieta,92563,"Riverside County, California",1979,4/1/2023,Y40: Fraternal Beneficiary Societies and Voluntary Employees Associations,813410: Civic and Social Organizations,No,No,No,,46032,155833,0,9.974138982,512,154675,0,100,0,,
23-7451221,Loyal Order of Moose Victor Valley Lodge 1808,,,PO Box 402277,Hesperia,92340,"San Bernardino County, California",1940,4/1/2023,Y40: Fraternal Beneficiary Societies and Voluntary Employees Associations,813410: Civic and Social Organizations,No,No,No,,91941,186045,0,8.526969282,0,177266,,0,0,,
95-0646193,The Contemporary Club,,,PO Box 8363,Redlands,92375,"San Bernardino County, California",1892,5/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,792985,-26692,0,-61.59898097,0,62532,21.30845965,78.69154035,0,,
95-3567698,Rotary Club of Palm Desert Foundation,,,PO Box 10101,Palm Desert,92255,"Riverside County, California",1980,6/1/2023,S11: Community Improvement and Capacity Building Single Organization Support,813410: Civic and Social Organizations,No,No,No,,491428,21188,0,193.7889371,0,55380,8.257977815,24.63705309,0,,
33-0103979,High Desert Child Adolescent and Family Service Center,,http://www.highdesertcenterinc.com/,16248 Victor St,Victorville,92395,"San Bernardino County, California",1985,6/1/2023,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",624110: Child and Youth Services,No,Yes,No,,502888,1061698,3,91.25466941,177159,1116923,8.070833889,91.92916611,52.33556834,,
30-0852223,Desert X,,https://desertx.org/,PO Box 4050,Palm Springs,92263,"Riverside County, California",2014,6/1/2023,"A20: Arts, Cultural Organizations","7113: Promoters of Performing Arts, Sports, and Similar Events",No,Yes,No,,511716,1269162,14,97.84109515,166272,2839083,5.216367398,84.05714099,18.51541501,,
33-0855769,Al-Shifa Clinic,,http://www.alshifafreeclinic.org/,PO Box 2696,San Bernardino,92406,"San Bernardino County, California",1999,6/1/2023,"E32: Ambulatory Health Center, Community Clinic",621: Outpatient Health Care Practitioners and Facilities,No,Yes,No,,529547,96631,0,100,0,193032,0,92.41421112,54.10191056,,
95-6196300,Disabled American Veterans - 28 Charlotte W Fay,,,4351 University Ave,Riverside,92501,"Riverside County, California",1929,6/1/2023,"W30: Military, Veterans Organizations",813410: Civic and Social Organizations,No,No,No,,531408,13851,0,56.19810844,59745,45036,6.645794476,93.35420552,0,,
54-2145774,Exchange Club of Culver City Charitable Foundation,,,80572 Knightswood Rd,Indio,92201,"Riverside County, California",2006,6/1/2023,S80: Community Service Clubs,813410: Civic and Social Organizations,No,No,No,,578641,302332,3,87.33709961,0,213650,3.245026913,96.75497309,0,5,10000
83-1485698,Artists Council,,https://www.artistscouncil.com/,72567 Hwy 111,Palm Desert,92260,"Riverside County, California",2018,6/1/2023,A90: Arts Service Organizations and Activities,813920: Professional Associations,No,Yes,No,,637572,800060,4,79.88975827,107276,372224,57.51375516,40.1258382,31.47298401,,
20-8082196,Southern California Equestrian Sports,,https://scesports.org/,1902 Orange Tree LN Ste 130,Redlands,92374,"San Bernardino County, California",2006,6/1/2023,"N60: Amateur Sports Clubs, Leagues","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,676907,1597854,16,100,371,1514234,4.582382908,95.41761709,2.459659471,1,144927
95-2783993,United Way of the Desert,,https://inlandsocaluw.org/,78401 Hwy 111 Ste G,La Quinta,92253,"Riverside County, California",1972,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,No,Yes,Yes,,704189,525967,7,91.74092671,52500,874422,13.17761904,77.08394803,47.0368998,11,8500
83-4691558,Sheriff's Employees' Benefit Association Legal Trust Fund,,https://www.seba.com/,1998 Orange Tree LN,Redlands,92374,"San Bernardino County, California",2003,6/1/2023,"J40: Labor unions, organizations",525120: Health and Welfare Funds,No,No,No,,739088,992587,0,0,8259,1035683,38.74650834,61.25349166,0,,
33-0081886,Southern California Water Coalition,SCWC,https://socalwater.org/,2621 Green River Rd 234 Suite 105,Corona,92882,"Riverside County, California",1984,6/1/2023,"C32: Water Resource, Wetlands Conservation and Management",813319: Social Advocacy Organizations,No,No,No,,763126,618839,0,41.77176939,950,457543,20.4393904,79.5606096,31.96311603,,
85-1177591,Prime Educational Solutions,,,27475 Ynez Rd 720,Temecula,92591,"Riverside County, California",2019,6/1/2023,B90: Educational Services,611710: Educational Support Services,No,Yes,No,,784755,2957566,0,0,82773,2394019,21.60901814,78.39098186,66.47369967,,
33-0085461,Necaibew Inland Training Fund,,,1855 Business Dr,San Bernardino,92408,"San Bernardino County, California",1985,6/1/2023,J22: Employment Training,61151: Technical and Trade Schools,No,Yes,No,,793024,2221201,0,27.87933195,793024,2221201,,,57.04431972,,
33-0362613,Child Advocates of San Bernardino County,,https://www.casaofsb.org/,PO Box 519,Rialto,92377,"San Bernardino County, California",1984,6/1/2023,"I70: Protection Against, Prevention of Neglect, Abuse, Exploitation",624110: Child and Youth Services,No,Yes,No,Formula grant; Grant; Cooperative agreement; Sub-grant,847438,1430039,7,99.99818187,322994,1285864,11.43993455,84.39819452,69.88281809,,
23-7250781,Casa Ramona,,,1633 W 5th St,San Bernardino,92411,"San Bernardino County, California",1972,6/1/2023,P30: Childrens and Youth Services,624410: Child Day Care Services,No,Yes,No,Formula grant; Grant; Sub-grant,971086,411979,0,93.84823013,207645,423079,41.51895982,58.48104018,54.99753001,,
23-7541141,Knights of Columbus - 4488 Dela Rosa Council,,,1729 E Baseline,San Bernardino,92410,"San Bernardino County, California",1958,6/1/2023,Y40: Fraternal Beneficiary Societies and Voluntary Employees Associations,813410: Civic and Social Organizations,No,No,No,,1049479,289054,0,3.459561189,0,221488,5.203893665,94.79610634,0,,
33-0130769,College of the Desert Alumni Association,,https://codaastreetfair.com/,43-500 Monterey Ave,Palm Desert,92260,"Riverside County, California",1985,6/1/2023,B84: Alumni Associations,813211: Grantmaking Foundations,No,Yes,Yes,,1079858,380854,0,0,14509,281545,87.36152302,12.63847698,72.84625903,,
26-1542065,Riverside Community Services Foundation,,https://www.riversidecommunityservicesfoundation.org/,6927 Magnolia Ave 2nd Floor,Riverside,92506,"Riverside County, California",2007,6/1/2023,L11: Housing and Shelter Single Organization Support,813211: Grantmaking Foundations,No,No,Yes,,1100196,466700,2,96.52624813,0,38399,26.98768197,67.65019922,0,,
33-0460833,Inland Caregiver Resource Center,,https://inlandcaregivers.org/,1430 E Cooley Dr 240,Colton,92324,"San Bernardino County, California",1991,6/1/2023,P80: Services to Promote the Independence of Specific Population Groups,624120: Services for the Elderly and People with Disabilities,No,Yes,No,,1236097,3772518,1,99.56967733,776767,3793825,15.20881959,82.77590558,57.19449368,,
32-0559098,Ecs Corona-Norco,,https://corona.excelsior.com/,15505 Civic Dr,Victorville,92392,"San Bernardino County, California",2017,6/1/2023,B29: Charter Schools,611110: Elementary and Secondary Schools,No,Yes,No,Formula grant; Grant; Sub-grant,1374422,2024339,0,99.31533207,984348,1904419,17.95371712,82.04628288,54.97702974,,
95-3374790,Highland Senior Center,,http://highlandseniorcenter.com/,PO Box 948,Highland,92346,"San Bernardino County, California",1979,6/1/2023,P81: Senior Centers and Services,624120: Services for the Elderly and People with Disabilities,No,Yes,No,,1567860,473159,2,72.15375804,102450,478096,28.67792243,71.15035474,50.58879388,,
23-7126416,Whiteside Manor,,https://www.whitesidemanor.com/,2743 Orange St,Riverside,92501,"Riverside County, California",1970,6/1/2023,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",623220: Residential Mental Health and Substance Abuse Facilities,No,Yes,No,Contract; Indefinite delivery contract (IDC),1688131,6059686,1,12.5782095,2529622,6157825,5.644216911,94.35578309,69.12372469,,
33-0686738,American Alliance Drug Testing,AADT,https://aadrugtesting.com/,334 N Euclid Ave,Upland,91786,"San Bernardino County, California",1995,6/1/2023,E60: Health Support Services,"5416: Professional, Scientific, and Technical Services",Yes,Yes,No,,1705683,2197791,0,0,619010,1863800,27.02956326,72.97043674,47.93792252,,
56-2298434,Learning Plus Associates,,https://standardsplus.org/,9480 Utica Ave Ste 605,Rancho Cucamonga,91730,"San Bernardino County, California",2002,6/1/2023,B90: Educational Services,611430: Professional and Management Development Training,No,Yes,No,,1713658,1753399,0,0,764843,1886661,14.41726945,85.58273055,51.61409495,,
95-3639912,Inland Fair Housing and Mediation Board,,https://www.ifhmb.com/,1500 S Haven Ave 100 Ste 100,Ontario,91761,"San Bernardino County, California",1982,6/1/2023,"I00: Crime, Legal: General",624190: Individual and Family Services,No,Yes,No,,1715892,1864487,2,99.70855254,279234,1801818,2.118693453,97.88130655,66.76184831,,
33-0682929,San Bernardino City Library Foundation,,https://www.sbpl.org/about/san_bernardino_city_library_foundation,555 W 6th St,San Bernardino,92410,"San Bernardino County, California",1995,6/1/2023,"B70: Libraries, Library Science",51912: Libraries and Archives,No,No,Yes,,1795674,68769,1,98.31464759,13893,107334,10.01826076,87.57523245,39.54385376,,
33-0509407,Habitat For Humanity - San Bernadino Area Inc HFH,,https://habitatsb.org/,1426 Industrial Park Ave,Redlands,92374,"San Bernardino County, California",1992,6/1/2023,"L20: Housing Development, Construction, Management",62422: Community Housing Services,No,Yes,No,,1797171,714929,5,50.2824756,685658,781185,40.02905842,59.69840691,40.87226457,,
95-6093443,International Association of Fire Fighters - L0935 San Bernardino Co,,https://www.iafflocal935.org/,PO Box 1302,Fontana,92334,"San Bernardino County, California",1957,6/1/2023,"J40: Labor unions, organizations",813930: Labor Unions,No,Yes,No,,1810604,506019,0,38.39717481,398675,648796,0,0,36.26502013,,
95-3551068,Thessalonika Family Services,TFS,,38950 Mesa Rd,Temecula,92592,"Riverside County, California",1980,6/1/2023,P60: Emergency Assistance,62422: Community Housing Services,No,Yes,No,,2103034,2793807,9,94.91679275,30247,2380118,10.39427457,84.70302733,17.60446331,,
33-0262154,Desert Community College District Auxiliary Services,,https://www.collegeofthedesert.edu/community/auxiliary-services/default.php,43-500 Monterey Ave,Palm Desert,92260,"Riverside County, California",1985,6/1/2023,B80: Student Services and Organizations of Students,813410: Civic and Social Organizations,No,No,Yes,,2285913,449742,1,0,270193,557484,29.4760029,70.5239971,0,1,0
47-2300185,Perris Community Economic Development Corporation,,https://thinkperris.org/,101 N D St,Perris,92570,"Riverside County, California",2014,6/1/2023,"S31: Urban, Community Economic Development",926110: Economic Development Corporations and Economic Program Organizations,No,No,No,,2371707,200227,0,9.310432659,133163,696380,0,100,23.42370545,,
95-6006684,Associated Students University of California Riverside,,https://asucr.ucr.edu/,900 University Ave Hub202,Riverside,92521,"Riverside County, California",1955,6/1/2023,B80: Student Services and Organizations of Students,813410: Civic and Social Organizations,No,Yes,No,,2462224,1192485,2,0,34372,1074791,30.06426366,69.93573634,41.16363088,,
33-0063237,Citrus Counseling Services,,https://ccs-cares.org/,101 E Redlands Blvd 215,Redlands,92373,"San Bernardino County, California",1978,6/1/2023,F32: Community Mental Health Center,621: Outpatient Health Care Practitioners and Facilities,No,Yes,No,,2569412,3810477,0,79.86803227,1239416,3717984,9.731268343,90.26873166,68.08896972,,
95-6126562,Associated Students California State University San Bernardino,,https://www.csusb.edu/asi,5500 University Pkwy,San Bernardino,92407,"San Bernardino County, California",1988,6/1/2023,B80: Student Services and Organizations of Students,813211: Grantmaking Foundations,No,Yes,No,,2583394,1733523,9,0,236093,1682155,46.35494351,53.64505649,40.80277977,3,0
33-0122847,Making Hope Happen Foundation,,https://makinghope.org/,PO Box 1234,San Bernardino,92402,"San Bernardino County, California",2006,6/1/2023,B90: Educational Services,813211: Grantmaking Foundations,No,Yes,Yes,,2920086,1539517,12,90.88097111,540843,1304167,15.54670529,82.06126976,49.35587237,2,37500
84-2411420,Impact Through Golf Foundation,,,78060 Calle Estado Suite 12,La Quinta,92253,"Riverside County, California",2019,6/1/2023,"N60: Amateur Sports Clubs, Leagues","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,3152786,11007920,13,0,3003738,10967336,0.62861209,99.37138791,0,34,25000
33-0502676,Inland Empire United Way,,https://inlandsocaluw.org/,1511 S Vineyard Ave,Ontario,91761,"San Bernardino County, California",1992,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,No,Yes,No,Formula grant; Project grant; Grant; Sub-grant,3279063,1053532,15,96.56688169,1745682,1223421,16.57655051,83.42344949,55.77695658,,
33-0341818,Foothill Family Shelter,,https://www.foothillfamilyshelter.org/home,1501 W Ninth St D,Upland,91786,"San Bernardino County, California",1984,6/1/2023,"L41: Homeless, Temporary Shelter",62422: Community Housing Services,No,Yes,No,,3375195,1819987,21,44.93768362,1050289,867707,13.06938863,81.80030817,57.96703265,,
33-0096289,Provisional Accelerated Learning,,https://www.palcenter.org/,2450 Blake St,San Bernardino,92407,"San Bernardino County, California",1984,6/1/2023,B29: Charter Schools,611110: Elementary and Secondary Schools,No,Yes,No,Formula grant; Project grant; Grant; Sub-grant,4187305,6576582,0,95.9475454,1095184,6702692,19.39974267,80.60025733,65.31988938,,
95-6090571,HCSC Foundation,,https://hcscfoundation.com/,15220 Green Valley Dr,Chino Hills,91709,"San Bernardino County, California",1964,6/1/2023,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,4234956,189498,2,39.01096581,0,625211,,,6.397840089,1,6250
33-0480298,Inland Congregations United for Change Sponsoring Committee,,https://icucpico.com/,1441 N D St 208,San Bernardino,92405,"San Bernardino County, California",1992,6/1/2023,X00: Religion: General,813110: Religious Organizations,No,Yes,Yes,Grant; Cooperative agreement; Sub-grant,4247825,4889219,16,94.71338878,346795,4797909,14.31757042,80.92062605,67.25959163,,
23-7134143,Riverside County Educational and Training,,,1855 Business Dr,San Bernardino,92408,"San Bernardino County, California",1971,6/1/2023,J22: Employment Training,61151: Technical and Trade Schools,No,No,No,,4364936,2026459,0,15.50907272,12935,853717,,,0,,
26-1265520,The Foundation of Palm Springs Unif,,https://www.psusdfoundation.net/,150 District Dr,Palm Springs,92264,"Riverside County, California",2008,6/1/2023,B12: Education Fund Raising and Fund Distribution,813211: Grantmaking Foundations,No,Yes,Yes,,5008288,3800107,7,91.82620384,0,1562347,7.118777071,84.13393439,28.96501225,1,44869
33-0233725,Children's Discovery Museum of The Desert,,https://cdmod.org/,71-701 Gerald Ford Dr,Rancho Mirage,92270,"Riverside County, California",1987,6/1/2023,A52: Childrens Museums,"7121: Museums, Historical Sites, and Similar Institutions",No,Yes,No,,5309544,838468,10,94.52310643,815323,570660,8.982406337,88.95542004,32.56019346,,
33-0572113,Riverside County Latino Commission on Alcohol and Drug Abuse Services,,https://www.latinocommission.com/,1612 1st St,Coachella,92236,"Riverside County, California",1991,6/1/2023,"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",621: Outpatient Health Care Practitioners and Facilities,No,Yes,No,,5565043,10647379,1,0.682646875,356265,8234603,6.636312643,93.36368736,83.55720367,,
95-1742174,Inland Southern California United Way,UWIV,https://inlandsocaluw.org/contact-us,1835 Chicago Ave B,Riverside,92507,"Riverside County, California",1954,6/1/2023,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",624190: Individual and Family Services,No,Yes,No,,5644509,4266004,20,100.0430848,2427987,4322274,5.676039973,83.55432812,17.5550879,1,34534
33-0371042,Starshine Treatment Center,,,731 E 40th St,San Bernardino,92404,"San Bernardino County, California",1989,6/1/2023,"F33: Group Home, Residential Treatment Facility-Mental Health Related",623990: Other Residential Care Facilities,No,Yes,No,,6283839,3112811,0,98.99849364,158602,2810094,39.20883074,60.79116926,76.81853347,,
33-0107971,Family Assistance Program,,http://familyassist.org/cgi-sys/suspendedpage.cgi,15075 Seventh St,Victorville,92395,"San Bernardino County, California",1985,6/1/2023,P43: Family Violence Shelters and Services,62422: Community Housing Services,No,Yes,No,Formula grant; Project grant; Grant; Sub-grant,6320833,10878831,12,99.58422922,3820488,10532231,19.86176528,80.13823472,51.49813938,,
95-2287250,Inland Southern California 211,,https://inlandsocaluw.org/,1511 S Vineyard Ave,Ontario,91761,"San Bernardino County, California",1966,6/1/2023,P60: Emergency Assistance,624190: Individual and Family Services,No,Yes,No,Formula grant; Project grant; Grant; Sub-grant,6626280,72049586,4,99.74504919,5845970,73027142,1.181681189,98.81831881,12.0470441,1,48600
23-7243474,Good News Radio,,https://ksgn.com/,2048 Orange Tree LN 200,Redlands,92374,"San Bernardino County, California",1958,6/1/2023,"X80: Religious Media, Communications Organizations",51511: Radio Broadcasting,No,Yes,No,,6887711,2289674,1,80.1514102,100153,1591361,21.44158365,59.49115254,40.75976475,6,25000
